code,date,median_salary,mean_salary,population_size,area
E09000001,12/1/1999,33020,48922,6581,city of london
E09000002,12/1/1999,21480,23620,162444,barking and dagenham
E09000003,12/1/1999,19568,23128,313469,barnet
E09000004,12/1/1999,18621,21386,217458,bexley
E09000005,12/1/1999,18532,20911,260317,brent
E09000006,12/1/1999,16720,21293,294902,bromley
E09000007,12/1/1999,23677,30249,190003,camden
E09000008,12/1/1999,19563,22205,332066,croydon
E09000009,12/1/1999,20580,25046,302252,ealing
E09000010,12/1/1999,19289,21006,272731,enfield
E09000011,12/1/1999,21236,22263,212168,greenwich
E09000012,12/1/1999,23249,39629,199087,hackney
E09000013,12/1/1999,25000,28555,160634,hammersmith and fulham
E09000014,12/1/1999,18783,21683,218559,haringey
E09000015,12/1/1999,20596,22824,207909,harrow
E09000016,12/1/1999,17165,18786,225712,havering
E09000017,12/1/1999,24002,28854,245053,hillingdon
E09000018,12/1/1999,20155,24602,214298,hounslow
E09000019,12/1/1999,25113,34180,175717,islington
E09000020,12/1/1999,20646,28074,147678,kensington and chelsea
E09000021,12/1/1999,19302,22967,146003,kingston upon thames
E09000022,12/1/1999,23151,27930,266817,lambeth
E09000023,12/1/1999,20580,23283,250310,lewisham
E09000024,12/1/1999,18962,21867,185062,merton
E09000025,12/1/1999,18862,20580,240517,newham
E09000026,12/1/1999,19580,22087,238138,redbridge
E09000027,12/1/1999,22321,25832,172782,richmond upon thames
E09000028,12/1/1999,22784,26994,247853,southwark
E09000029,12/1/1999,19582,22725,179375,sutton
E09000030,12/1/1999,26376,37524,193507,tower hamlets
E09000031,12/1/1999,18547,19888,221057,waltham forest
E09000032,12/1/1999,21321,24707,264220,wandsworth
E09000033,12/1/1999,24447,36167,189233,westminster
E12000001,12/1/1999,16282,18351,2550314,north east
E12000002,12/1/1999,16977,19609,6773115,north west
E12000003,12/1/1999,16527,18977,4956325,yorkshire and the humber
E12000004,12/1/1999,16392,18864,4152443,east midlands
E12000005,12/1/1999,17000,19686,5271959,west midlands
E12000006,12/1/1999,18000,20866,5338722,east
E12000007,12/1/1999,22487,29640,7153912,london
E12000008,12/1/1999,18737,22361,7955124,south east
E12000009,12/1/1999,16727,19203,4880958,south west
E13000001,12/1/1999,,-,2750716,inner london
E13000002,12/1/1999,,-,4403196,outer london
E92000001,12/1/1999,17939,21561,49032872,england
K02000001,12/1/1999,17803,21314,58684427,united kingdom
K03000001,12/1/1999,17866,21379,57005421,great britain
K04000001,12/1/1999,17974,21549,51933471,england and wales
N92000002,12/1/1999,15798,19093,1679006,northern ireland
S92000003,12/1/1999,16914,19667,5071950,scotland
W92000004,12/1/1999,16457,18486,2900599,wales
E09000001,12/1/2000,34903,52203,7014,city of london
E09000002,12/1/2000,22618,24696,163893,barking and dagenham
E09000003,12/1/2000,21761,25755,315784,barnet
E09000004,12/1/2000,19363,22580,218717,bexley
E09000005,12/1/2000,22348,23726,264945,brent
E09000006,12/1/2000,16401,21178,295317,bromley
E09000007,12/1/2000,25484,34864,196174,camden
E09000008,12/1/2000,21339,23440,334241,croydon
E09000009,12/1/2000,22512,26615,304370,ealing
E09000010,12/1/2000,22467,25198,275068,enfield
E09000011,12/1/2000,22121,23689,214438,greenwich
E09000012,12/1/2000,24083,#,203381,hackney
E09000013,12/1/2000,25264,28742,164393,hammersmith and fulham
E09000014,12/1/2000,19772,#,219845,haringey
E09000015,12/1/2000,22238,24973,209114,harrow
E09000016,12/1/2000,17418,19309,225141,havering
E09000017,12/1/2000,25038,29755,245911,hillingdon
E09000018,12/1/2000,23230,27632,214731,hounslow
E09000019,12/1/2000,26598,35135,177852,islington
E09000020,12/1/2000,22952,28782,154661,kensington and chelsea
E09000021,12/1/2000,20983,25225,147328,kingston upon thames
E09000022,12/1/2000,24264,28750,270028,lambeth
E09000023,12/1/2000,22357,22659,252106,lewisham
E09000024,12/1/2000,18906,22987,188196,merton
E09000025,12/1/2000,19437,21609,245463,newham
E09000026,12/1/2000,20256,22421,239868,redbridge
E09000027,12/1/2000,22574,27702,172920,richmond upon thames
E09000028,12/1/2000,24857,29101,252726,southwark
E09000029,12/1/2000,22019,26891,180485,sutton
E09000030,12/1/2000,28445,47253,197133,tower hamlets
E09000031,12/1/2000,19776,22009,221296,waltham forest
E09000032,12/1/2000,22840,26862,267695,wandsworth
E09000033,12/1/2000,25951,40903,196478,westminster
E12000001,12/1/2000,17430,19560,2543421,north east
E12000002,12/1/2000,17863,20670,6774223,north west
E12000003,12/1/2000,17503,20018,4958609,yorkshire and the humber
E12000004,12/1/2000,17352,20144,4168076,east midlands
E12000005,12/1/2000,17812,20631,5269626,west midlands
E12000006,12/1/2000,19020,22424,5374972,east
E12000007,12/1/2000,24204,33000,7236712,london
E12000008,12/1/2000,19992,23867,7990598,south east
E12000009,12/1/2000,17847,20482,4917074,south west
E13000001,12/1/2000,,-,2804949,inner london
E13000002,12/1/2000,,-,4431763,outer london
E92000001,12/1/2000,19107,23319,49233311,england
K02000001,12/1/2000,18848,22801,58886065,united kingdom
K03000001,12/1/2000,18915,22908,57203121,great britain
K04000001,12/1/2000,19000,23131,52140181,england and wales
N92000002,12/1/2000,16599,19112,1682944,northern ireland
S92000003,12/1/2000,18029,20678,5062940,scotland
W92000004,12/1/2000,17157,19507,2906870,wales
E09000001,12/1/2001,39104,62819,7359,city of london
